SPC_SCITF_NM_SHORT,COMM_KOR_NM,SPC_TXN_ID,GENUS,GENUS_NM,FAMILY,FAMILY_NM,ORDER_,ORDER_NM,CLASS,CLASS_NM,PHYLUM,PHYLUM_NM,KINGDOM,KINGDOM_NM,LATI_DEG,LATI_MIN,LATI_SEC,LATI_NS_DIV_CD,LOTI_DEG,LOTI_MIN,LOTI_SEC,LOTI_EW_DIV_CD,LATI_VAL,LOTI_VAL
Notostomum cyclostomum,,270000027424,Notostomum,,Piscicolidae,바다거머리과,Rhynchobdellida,부리거머리목,Clitellata,환대강,Annelida,환형동물문,Animalia,동물계,36,2,4,N,130,24,31,E,36.03444444,130.4086111
Notostomum cyclostomum,,270000027424,Notostomum,,Piscicolidae,바다거머리과,Rhynchobdellida,부리거머리목,Clitellata,환대강,Annelida,환형동물문,Animalia,동물계,36,2,4,N,130,24,31,E,36.03444444,130.4086111
Notostomum cyclostomum,,270000027424,Notostomum,,Piscicolidae,바다거머리과,Rhynchobdellida,부리거머리목,Clitellata,환대강,Annelida,환형동물문,Animalia,동물계,36,2,4,N,130,24,31,E,36.03444444,130.4086111
Notostomum cyclostomum,,270000027424,Notostomum,,Piscicolidae,바다거머리과,Rhynchobdellida,부리거머리목,Clitellata,환대강,Annelida,환형동물문,Animalia,동물계,36,2,4,N,130,24,31,E,36.03444444,130.4086111
Notostomum cyclostomum,,270000027424,Notostomum,,Piscicolidae,바다거머리과,Rhynchobdellida,부리거머리목,Clitellata,환대강,Annelida,환형동물문,Animalia,동물계,36,2,4,N,130,24,31,E,36.03444444,130.4086111
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,0,E,36.01986111,126.6000556
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,10,E,36.01986111,126.6028333
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,10,E,36.01986111,126.6028333
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,10,E,36.01986111,126.6028333
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,10,E,36.01986111,126.6028333
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,36,1,12,N,126,36,10,E,36.01986111,126.6028333
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,33,30,6,N,126,56,35,E,33.50152778,126.943025
Amphinome rostrata,부리양목갯지렁이,270000000909,Amphinome,양목갯지렁이속,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,33,30,6,N,126,56,35,E,33.50152778,126.943025
Archinome rosacea,,270000026862,Archinome,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,11,24,53,S,66,25,25,E,11.41471667,66.42374722
Archinome rosacea,,270000026862,Archinome,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,11,24,53,S,66,25,25,E,11.41471667,66.42374722
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eurythoe complanata,,270000006526,Eurythoe,,Amphinomidae,양목갯지렁이과,Amphinomida,양목갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,6,4,38,N,116,5,21,E,6.077305556,116.0890278
Eunice northioidea,염주털갯지렁이,270000006432,Eunice,두수염털갯지렁이속,Eunicidae,털갯지렁이과,Eunicida,털갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,37,3,22,N,129,25,47,E,37.05621389,129.4297861
Eunice northioidea,염주털갯지렁이,270000006432,Eunice,두수염털갯지렁이속,Eunicidae,털갯지렁이과,Eunicida,털갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,37,3,22,N,129,25,47,E,37.05621389,129.4297861
Leodice antennata,고리털갯지렁이,270000009429,Leodice,고리털갯지렁이속,Eunicidae,털갯지렁이과,Eunicida,털갯지렁이목,Polychaeta,다모강,Annelida,환형동물문,Animalia,동물계,34,53,8,N,128,57,4,E,34.88547222,128.9512139
