번호,위도,경도,일자,시간,감도
1,35.29256,129.2992,2015-10-29,8:25:22,B
2,35.24668,129.24129,2015-10-30,3:57:15,B
3,35.16076,129.22356,2015-10-31,3:46:59,1
4,35.20085,129.27685,2015-11-01,9:29:36,B
5,35.28637,129.42136,2015-11-02,12:21:42,A
6,35.28423,129.26121,2015-11-03,8:27:28,A
7,35.24925,129.40186,2015-11-04,4:41:18,2
8,35.16876,129.20479,2015-11-05,16:57:47,B
9,35.08003,129.1083,2015-11-06,8:32:00,B
10,35.02555,129.07506,2015-11-07,8:03:26,A
11,34.93991,129.16335,2015-11-08,7:37:02,B
12,34.63266,129.31692,2015-11-09,7:23:52,B
13,34.55539,129.30185,2015-11-10,2:24:23,A
14,34.14991,129.1616,2015-11-11,22:05:08,B
15,33.97319,129.11484,2015-11-12,8:28:26,2
16,33.58086,129.00878,2015-11-13,4:40:56,3
17,33.13721,129.28353,2015-11-14,2:01:42,B
18,33.24994,129.0869,2015-11-15,21:42:55,3
19,33.25787,129.07926,2015-11-16,0:22:42,B
20,32.9714,128.99435,2015-11-17,20:38:43,A
21,32.91665,129.00536,2015-11-18,17:53:03,B
22,32.84546,129.04124,2015-11-19,0:58:24,2
23,32.48091,129.56061,2015-11-20,6:59:30,2
24,32.21419,129.94821,2015-11-21,4:51:53,A
25,32.00699,130.15634,2015-11-22,6:51:53,B
26,31.46109,130.20791,2015-11-23,18:36:42,B
27,31.34994,129.95513,2015-11-24,4:15:20,A
28,31.13351,130.2791,2015-11-25,7:45:12,B
29,30.5055,130.70879,2015-11-26,8:28:17,B
30,30.44587,130.72038,2015-11-27,5:26:34,B
31,30.35906,130.67764,2015-11-28,5:12:34,A
32,30.3858,130.71981,2015-11-29,2:31:19,B
33,30.67679,130.9391,2015-11-30,9:19:33,B
34,30.7551,130.86066,2015-12-01,10:22:35,B
35,30.75449,130.87382,2015-12-02,0:46:55,B
36,30.75953,130.86688,2015-12-03,7:51:00,B
37,30.75949,130.87089,2015-12-04,21:49:27,B
38,30.76837,130.85497,2015-12-05,21:33:06,A
39,30.77707,130.88791,2015-12-06,9:19:19,B
40,30.81572,130.9476,2015-12-07,21:07:17,B
41,30.74974,130.88886,2015-12-08,8:33:21,B
42,30.7461,130.86462,2015-12-09,20:47:16,B
43,30.74399,130.88066,2015-12-10,18:45:32,0
44,30.72354,130.87191,2015-12-11,11:18:04,A
45,30.76241,130.87061,2015-12-12,22:31:37,B
46,30.72802,130.86272,2015-12-13,4:02:18,B
47,30.74716,130.87149,2015-12-14,19:51:24,A
48,30.75655,130.8489,2015-12-15,23:58:19,B
49,30.72836,130.86839,2015-12-16,0:52:39,A
50,30.73619,130.86797,2015-12-17,8:45:30,B
51,30.75169,130.87137,2015-12-18,21:01:03,B
52,30.72518,130.8353,2015-12-19,11:59:08,B
53,30.7358,130.85903,2015-12-20,4:23:00,A
54,30.742,130.86136,2015-12-21,22:14:59,B
55,30.74134,130.84798,2015-12-22,4:02:51,B
56,30.73692,130.86742,2015-12-23,12:09:25,B
57,30.73444,130.85753,2015-12-24,5:20:44,B
58,30.72622,130.86917,2015-12-25,6:49:50,B
59,30.74357,130.86384,2015-12-26,11:09:02,A
60,30.75178,130.84463,2015-12-27,13:20:05,B
61,30.7613,130.88485,2015-12-28,8:32:10,B
62,30.74423,130.89709,2015-12-29,18:28:34,B
63,30.73916,130.89421,2015-12-30,5:53:41,B
64,30.66358,130.7872,2015-12-31,8:06:06,B
65,30.74125,130.87617,2016-01-01,21:25:28,2
66,30.75138,130.87949,2016-01-02,8:39:41,B
67,30.74768,130.86778,2016-01-03,20:06:21,B
68,30.76716,130.87823,2016-01-04,8:57:41,B
69,30.76257,130.89903,2016-01-05,8:13:40,B
70,30.75661,130.86948,2016-01-06,22:07:08,B
71,30.74903,130.8679,2016-01-07,0:45:49,B
72,30.74811,130.86466,2016-01-08,5:52:43,B
73,30.75053,130.89081,2016-01-09,5:45:20,B
74,30.75611,130.8594,2016-01-14,20:21:05,B
75,30.74519,130.87684,2016-01-15,6:14:02,A
76,30.7799,130.86441,2016-01-16,0:54:55,B
77,30.75176,130.87153,2016-01-17,10:53:09,B
78,30.75832,130.86864,2016-01-18,5:42:54,B
79,30.76629,130.87417,2016-01-19,19:34:58,B
80,30.76282,130.87229,2016-01-20,20:31:13,B
81,30.76672,130.88419,2016-01-24,4:35:31,B
82,30.74758,130.85835,2016-01-25,4:20:21,B
83,30.75702,130.86269,2016-01-26,0:53:15,B
84,30.75905,130.88158,2016-01-28,19:47:05,0
85,30.75663,130.87353,2016-01-29,7:01:34,B
86,30.74358,130.87189,2016-01-30,10:36:59,B
87,30.74643,130.89542,2016-01-31,8:18:56,B
88,30.7508,130.89854,2016-02-01,22:07:44,B
89,30.75461,130.86862,2016-02-02,1:45:38,A
90,30.75892,130.88288,2016-02-04,18:20:43,A
91,30.74227,130.85077,2016-02-05,8:57:58,B
92,30.76148,130.87468,2016-02-07,19:22:47,B
93,30.76264,130.8742,2016-02-08,1:20:40,B
94,30.7516,130.87063,2016-02-09,19:00:11,1
95,30.75573,130.869,2016-02-10,0:37:01,B
96,30.76179,130.8645,2016-02-15,9:59:43,B
97,30.76867,130.85752,2016-02-16,19:40:01,B
98,30.765,130.85988,2016-02-17,19:44:32,B
99,30.75044,130.87447,2016-02-18,21:03:11,2
100,30.75013,130.88163,2016-02-19,20:22:31,B
101,30.75754,130.8758,2016-02-20,9:23:40,B
102,30.77746,130.87359,2016-02-21,4:15:21,A
103,30.74007,130.87087,2016-02-22,16:32:29,2
104,30.77308,130.97911,2016-02-25,8:22:14,0
105,30.74642,130.86698,2016-02-26,9:53:03,B
106,30.74782,130.86882,2016-02-27,4:48:14,B
107,30.73402,130.84552,2016-03-01,20:58:53,0
108,30.74949,130.86928,2016-03-02,21:25:09,A
109,30.73575,130.87021,2016-03-03,19:41:45,B
110,30.75402,130.87109,2016-03-04,19:28:48,A
111,30.75525,130.86665,2016-03-06,17:28:30,A
112,30.76387,130.86754,2016-03-07,20:29:19,B
113,30.74909,130.86586,2016-03-08,9:08:43,B
114,30.77017,130.8633,2016-03-11,9:12:57,B
115,30.74236,130.85383,2016-03-12,11:11:51,B
116,30.74005,130.86563,2016-03-13,23:18:31,B
117,30.71604,130.86885,2016-03-14,0:58:56,2
118,30.7438,130.86546,2016-03-15,0:38:39,2
119,30.75439,130.85923,2016-03-16,0:18:09,B
120,30.74212,130.83619,2016-03-17,7:01:39,B
121,30.75436,130.84117,2016-03-18,16:54:35,A
122,30.76067,130.82585,2016-03-19,12:16:25,B
